255,129,0
255,139,0
255,136,0
244,138,2
249,198,0
231,133,10
255,127,24
237,193,38
255,165,14
255,150,35
255,192,2
243,194,0
255,132,0
255,146,26
222,179,12
255,204,0
220,178,0
222,198,0
218,169,35
233,170,18
248,139,0
220,199,22
245,167,26
255,195,11
255,150,0
237,153,31
255,193,14
228,191,30
219,190,0
216,148,0
242,126,12
255,201,9
225,131,33
255,181,26
255,130,0
255,167,0
255,204,0
229,197,0
255,187,0
223,154,8
233,136,21
255,170,0
255,201,38
255,164,2
255,142,5
224,143,0
233,152,0
255,191,26
239,165,16
252,131,0
