249,31,93
179,197,85
194,41,159
161,186,187
37,160,28
190,124,147
145,205,59
220,82,61
152,232,122
175,60,149
66,130,61
197,25,15
97,130,148
95,59,34
17,207,206
160,118,151
146,172,158
235,233,238
208,168,219
149,75,182
154,181,16
202,17,228
225,254,26
142,118,29
210,205,9
24,169,100
241,114,119
250,83,252
81,254,110
235,120,172
227,21,107
58,74,144
234,195,143
97,129,30
30,127,49
62,234,91
41,117,125
0,134,209
39,69,164
79,71,31
152,84,79
63,232,82
234,114,188
164,102,188
164,40,96
12,111,91
101,229,165
147,200,108
124,29,152
19,171,225
236,145,145
237,175,70
218,76,60
226,212,177
3,101,42
117,169,38
105,108,145
126,109,17
53,57,57
35,165,16
144,164,68
217,112,168
63,176,238
155,55,66
